date;ticker;family;group_col;quote;yield_val;duration;convexity
02-01-2025;BCHICJ1215;BE;BE;100,5299728;0,0316;7,430823799;63,15011929
02-01-2025;BCHICK0815;BE;BE;101,9168465;0,0312;7,483196526;64,72076787
02-01-2025;BCHICL1015;BE;BE;101,7567187;0,0307;7,652233261;67,34430671
02-01-2025;BCHICM1215;BE;BE;99,37027232;0,0332;7,806362544;69,45113719
02-01-2025;BCHICN0815;BE;BE;100,5865968;0,033;7,852533058;71,02308543
02-01-2025;BCHICO1215;BE;BE;102,6761717;0,029;8,206224172;77,16102522
02-01-2025;BCHICP0815;BE;BE;102,9812191;0,03;8,240240465;78,48640385
02-01-2025;BCHICQ1015;BE;BE;101,6909614;0,0309;8,400376833;81,04172151
02-01-2025;BCHICR1215;BE;BE;101,3439869;0,0307;8,56888882;83,91708867
03-02-2025;BCHICA1015;BE;BE;102,2149171;0,0277;5,199459844;32,0059771
03-02-2025;BCHICB1215;BE;BE;102,4109353;0,0275;5,35424794;33,746758
03-02-2025;BCHICC0815;BE;BE;101,3545145;0,0285;5,522299467;35,57426431
03-02-2025;BCHICD0815;BE;BE;101,0793426;0,0292;5,934883744;40,78180372
03-02-2025;BCHICE1215;BE;BE;101,1356862;0,03;6,177512763;44,19032883
03-02-2025;BCHICF0815;BE;BE;100,5710174;0,0301;6,346840604;46,34239119
03-02-2025;BCHICG0815;BE;BE;100,6931698;0,03;6,75033488;52,23920546
03-02-2025;BCHICH1215;BE;BE;101,0208442;0,0303;6,981183822;56,01450124
03-02-2025;BCHICI0815;BE;BE;101,177479;0,0303;7,129643711;58,20040501
03-02-2025;BCHICJ1215;BE;BE;99,76280333;0,0331;7,336510923;61,60113731
03-02-2025;BCHICK0815;BE;BE;99,32831762;0,033;7,504413059;64,10181846
03-02-2025;BCHICL1015;BE;BE;100,3421711;0,033;7,552611715;65,5834226
03-02-2025;BCHICM1215;BE;BE;99,94131605;0,0328;7,720777969;68,16990738
03-02-2025;BCHICN0815;BE;BE;99,71025787;0,0324;7,892344067;70,89037475
03-02-2025;BCHICO1215;BE;BE;100,5120363;0,032;8,100515455;75,07606783
03-02-2025;BCHICP0815;BE;BE;100,0376852;0,032;8,268011054;77,80528402
03-02-2025;BCHICQ1015;BE;BE;100,9556357;0,0322;8,303653329;79,27219616
03-02-2025;BCHICR1215;BE;BE;100,4485445;0,0321;8,471474528;82,08471989
03-03-2025;BCHICA1015;BE;BE;101,1715134;0,0302;5,118917186;31,00444918
03-03-2025;BCHICB1215;BE;BE;101,3831639;0,0298;5,273930464;32,72727064
03-03-2025;BCHICC0815;BE;BE;100,3541536;0,0308;5,441970553;34,52296184
03-03-2025;BCHICD0815;BE;BE;100,4238131;0,0307;5,855191674;39,71406983
03-03-2025;BCHICE1215;BE;BE;100,852411;0,0309;6,098576153;43,13527869
03-03-2025;BCHICF0815;BE;BE;100,4158031;0,0307;6,268644663;45,29170386
03-03-2025;BCHICG0815;BE;BE;100,850087;0,0301;6,673321222;51,18337994
03-03-2025;BCHICH1215;BE;BE;101,3959703;0,0301;6,905197708;54,96729223
03-03-2025;BCHICI0815;BE;BE;101,5961161;0,0301;7,053672547;57,13296115
03-03-2025;BCHICJ1215;BE;BE;100,2336491;0,0328;7,261129571;60,52913069
03-03-2025;BCHICK0815;BE;BE;99,69937992;0,0328;7,428587506;62,9903569
03-03-2025;BCHICL1015;BE;BE;100,7907125;0,0327;7,477463563;64,48524466
03-03-2025;BCHICM1215;BE;BE;100,2821117;0,0327;7,644586851;67,01168409
03-03-2025;BCHICN0815;BE;BE;99,91567048;0,0324;7,815631738;69,6878528
03-03-2025;BCHICO1215;BE;BE;100,5432158;0,0323;8,021988487;73,77878313
03-03-2025;BCHICP0815;BE;BE;99,90559601;0,0325;8,188274426;76,43777548
03-03-2025;BCHICQ1015;BE;BE;100,8008833;0,0326;8,224146715;77,91666155
03-03-2025;BCHICR1215;BE;BE;100,6182817;0,0322;8,394064288;80,77399107
03-03-2026;BCHICA1015;BE;BE;103,2441671;0,0253;4,267215137;22,24176733
03-03-2026;BCHICB1215;BE;BE;103,185947;0,0255;4,425227367;23,71167871
03-03-2026;BCHICC0815;BE;BE;102,8384622;0,0253;4,595067648;25,34016256
